trial,outer_fold,element,spearman
0,0,Cerium,0.7192826221397648
0,0,Dysprosium,0.5239455782312925
0,0,Erbium,0.5229808286951143
0,0,Europium,0.3647495361781075
0,0,Gadolinium,0.46050711193568333
0,0,Holmium,0.5050092764378479
0,0,Lanthanum,0.6915646258503401
0,0,Lutetium,0.4924675324675325
0,0,Neodymium,0.5746391421483728
0,0,Praseodymium,0.7044614034107615
0,0,Samarium,0.13501010385412102
0,0,Terbium,0.5311440940012367
0,0,Thulium,0.5185899814471243
0,0,Ytterbium,0.5212244897959183
0,0,Yttrium,0.4229684601113172
0,1,Cerium,0.7330856040614616
0,1,Dysprosium,0.5333273485340874
0,1,Erbium,0.4722282302036108
0,1,Europium,0.44452766135138655
0,1,Gadolinium,0.5036980805612622
0,1,Holmium,0.48938986491247327
0,1,Lanthanum,0.7929554443546378
0,1,Lutetium,0.47335437055684654
0,1,Neodymium,0.616603850836757
0,1,Praseodymium,0.633290133492618
0,1,Samarium,-0.2680764452788168
0,1,Terbium,0.5755517248878703
0,1,Thulium,0.4744502331217598
0,1,Ytterbium,0.4735589561852321
0,1,Yttrium,0.46525070151966
0,2,Cerium,0.8079927066730987
0,2,Dysprosium,0.6308480931493272
0,2,Erbium,0.6554771336637624
0,2,Europium,0.5070897569242996
0,2,Gadolinium,0.4912765028852296
0,2,Holmium,0.6419734197975843
0,2,Lanthanum,0.8545934475754541
0,2,Lutetium,0.6185166062303304
0,2,Neodymium,0.5889936276335687
0,2,Praseodymium,0.636613162967207
0,2,Samarium,-0.09993773308284054
0,2,Terbium,0.5706279707316972
0,2,Thulium,0.6601123421240185
0,2,Ytterbium,0.6508993074265355
0,2,Yttrium,0.5819550891400653
0,3,Cerium,0.6468763650734242
0,3,Dysprosium,0.5991851984208284
0,3,Erbium,0.6250231117456492
0,3,Europium,0.1751271948600825
0,3,Gadolinium,0.4460440370773694
0,3,Holmium,0.5613924353529807
0,3,Lanthanum,0.7360729897925444
0,3,Lutetium,0.6129285227502956
0,3,Neodymium,0.4967099395393476
0,3,Praseodymium,0.5568877738098109
0,3,Samarium,0.009682339025892503
0,3,Terbium,0.47152470733739443
0,3,Thulium,0.6097917078922492
0,3,Ytterbium,0.6143949199400327
