trial,params_json,fold_scores_json,best_iteration_per_fold,mean_cv_score,std_cv_score,elapsed_seconds,colsample_bytree,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,subsample,rank
9,"{""colsample_bytree"": 0.7852219872026998, ""learning_rate"": 0.06635356414116586, ""max_depth"": 7, ""min_child_weight"": 8, ""reg_alpha"": 1.6698184041729127, ""reg_lambda"": 2.930394563345043, ""subsample"": 0.815876852955632}","[0.5275815820155415, 0.5755597347411816, 0.6331671854150417, 0.5942809251535179, 0.5426291503692506]","[89, 73, 59, 83, 50]",0.5746437155389066,0.0375532486310923,1.459076166152954,0.7852219872026998,0.0663535641411658,7,8,1.6698184041729127,2.930394563345043,0.815876852955632,1
46,"{""colsample_bytree"": 0.7327990090662301, ""learning_rate"": 0.06977094903709133, ""max_depth"": 6, ""min_child_weight"": 6, ""reg_alpha"": 0.08998420889037455, ""reg_lambda"": 0.012609046313967497, ""subsample"": 0.6149392754996857}","[0.5211498021946518, 0.5848151045799903, 0.641157172089611, 0.5700641919083171, 0.5422156398748991]","[114, 41, 56, 104, 44]",0.5718803821294938,0.0410450189244103,1.297785997390747,0.7327990090662301,0.0697709490370913,6,6,0.0899842088903745,0.0126090463139674,0.6149392754996857,2
7,"{""colsample_bytree"": 0.5911180438940311, ""learning_rate"": 0.11386530295389598, ""max_depth"": 7, ""min_child_weight"": 6, ""reg_alpha"": 0.0010957420145894577, ""reg_lambda"": 0.7481622835076727, ""subsample"": 0.6125253169822235}","[0.5539372450767256, 0.5654033295378132, 0.6280912798236891, 0.5702690181368418, 0.5264565549007371]","[117, 25, 48, 46, 27]",0.5688314854951614,0.0332956907654658,1.1981561183929443,0.5911180438940311,0.1138653029538959,7,6,0.0010957420145894,0.7481622835076727,0.6125253169822235,3
33,"{""colsample_bytree"": 0.8344941273571143, ""learning_rate"": 0.07615819055825866, ""max_depth"": 7, ""min_child_weight"": 9, ""reg_alpha"": 0.20773460357138837, ""reg_lambda"": 0.010392222585843047, ""subsample"": 0.6643232205669994}","[0.5378910444611856, 0.5669220600576327, 0.6180484342549792, 0.5969862638842807, 0.5235475856179463]","[140, 36, 48, 90, 33]",0.5686790776552049,0.0352887286129341,1.433521032333374,0.8344941273571143,0.0761581905582586,7,9,0.2077346035713883,0.010392222585843,0.6643232205669994,4
27,"{""colsample_bytree"": 0.6603900324858679, ""learning_rate"": 0.030729005563352074, ""max_depth"": 6, ""min_child_weight"": 3, ""reg_alpha"": 0.09004606022643072, ""reg_lambda"": 1.724488420094181, ""subsample"": 0.6066351315711425}","[0.526356522649563, 0.5713618183301684, 0.6352899425773224, 0.5789150860034813, 0.5251147535499147]","[322, 105, 162, 225, 99]",0.56740762462209,0.0405707932458485,2.443660020828247,0.6603900324858679,0.030729005563352,6,3,0.0900460602264307,1.724488420094181,0.6066351315711425,5
40,"{""colsample_bytree"": 0.9901657918580229, ""learning_rate"": 0.02378900357985191, ""max_depth"": 6, ""min_child_weight"": 5, ""reg_alpha"": 0.00090064813853226, ""reg_lambda"": 0.07695618955062795, ""subsample"": 0.7941119497105262}","[0.5258344156476454, 0.5718047878979677, 0.6549311349362299, 0.5537994923056595, 0.5174408328217862]","[265, 138, 167, 221, 106]",0.5647621327218578,0.049101731167042,2.490403890609741,0.9901657918580228,0.0237890035798519,6,5,0.0009006481385322,0.0769561895506279,0.7941119497105262,6
43,"{""colsample_bytree"": 0.8512420419935547, ""learning_rate"": 0.04576370178339727, ""max_depth"": 6, ""min_child_weight"": 10, ""reg_alpha"": 1.1137963167994633, ""reg_lambda"": 4.722898537933602, ""subsample"": 0.9468289274320415}","[0.5206215591166935, 0.5588542364380713, 0.6438095278072306, 0.5539320161421597, 0.5432703868063946]","[168, 57, 88, 88, 70]",0.5640975452621099,0.0419732351186856,1.5638651847839355,0.8512420419935547,0.0457637017833972,6,10,1.1137963167994631,4.722898537933602,0.9468289274320416,7
18,"{""colsample_bytree"": 0.9402339195076288, ""learning_rate"": 0.0842139510991909, ""max_depth"": 7, ""min_child_weight"": 9, ""reg_alpha"": 0.0003368769521063147, ""reg_lambda"": 0.32139144423381266, ""subsample"": 0.6873761748867334}","[0.5278943177583231, 0.5547552228670259, 0.6277962353794797, 0.5623092259606316, 0.5416059559122012]","[85, 28, 49, 55, 33]",0.5628721915755323,0.0345167727669208,1.213365077972412,0.9402339195076288,0.0842139510991909,7,9,0.0003368769521063,0.3213914442338126,0.6873761748867334,8
48,"{""colsample_bytree"": 0.8114452379095001, ""learning_rate"": 0.024343188423002787, ""max_depth"": 6, ""min_child_weight"": 4, ""reg_alpha"": 0.011396448316201964, ""reg_lambda"": 2.0375618007146783, ""subsample"": 0.6553412369671205}","[0.5168431418415923, 0.5741987984928018, 0.6379588556590664, 0.5474230425451658, 0.5361905820462276]","[254, 134, 188, 185, 115]",0.5625228841169708,0.0420355729857345,2.4036459922790527,0.8114452379095001,0.0243431884230027,6,4,0.0113964483162019,2.0375618007146783,0.6553412369671205,9
34,"{""colsample_bytree"": 0.7743668946832931, ""learning_rate"": 0.09838416257617622, ""max_depth"": 6, ""min_child_weight"": 9, ""reg_alpha"": 0.0007579250540494681, ""reg_lambda"": 0.011472744383711982, ""subsample"": 0.7975574860733738}","[0.5255785179646512, 0.5456166496212927, 0.6417299329362354, 0.5603093414173093, 0.5248934930465682]","[60, 37, 43, 57, 28]",0.5596255869972113,0.0431355137409734,1.0120601654052734,0.7743668946832931,0.0983841625761762,6,9,0.0007579250540494,0.0114727443837119,0.7975574860733738,10
